基金代码,基金简称,基金类型,资产规模(亿),基金管理人,基金净值,基金经理(最近连续最长任职),基金经理的上任时间,近三年标准差,近三年夏普,近三年涨幅,近五年涨幅
012052,财通资管新聚益6个月持有混合发起式A,混合型-偏债,0.10,财通资管,1.0212,马航,2022-10-31,None,None,None,None
018277,博时稳健增利债券A,债券型-混合二级,1.95,博时基金,1.0212,董阳阳,2023-10-20,None,None,None,None
006450,嘉实致盈债券,债券型-长债,20.97,嘉实基金,1.0211,王立芹,2021-08-11,1.01%,2.04,11.10%,18.34%
019842,恒生前海中债0-3年政策性金融债C,指数型-固收,0.63,恒生前海基金,1.0211,李维康,2023-11-22,None,None,None,None
020169,广发信远回报混合C,混合型-偏股,1.86,广发基金,1.0211,冯汉杰,2024-02-06,None,None,None,None
020051,英大安华纯债债券C,债券型-长债,0.08,英大基金,1.0211,吕一楠,2023-11-23,None,None,None,None
160128,南方金利定开债(LOF)A,债券型-长债,2.75,南方基金,1.0210,李璇,2012-05-17,1.51%,2.31,15.73%,28.20%
004220,长信纯债壹号债券C,债券型-长债,0.82,长信基金,1.0210,张文琍,2017-01-09,0.52%,2.52,8.71%,14.39%
004319,国寿安保尊裕优化回报债券C,债券型-混合二级,0.00,国寿安保基金,1.0210,陶尹斌,2019-09-09,5.52%,-0.17,1.69%,6.27%
006639,人保鑫盛纯债C,债券型-长债,0.00,人保资产,1.0210,刘伟,2023-07-21,2.86%,0.43,8.40%,0.46%
006492,南方1-3年国开债C,指数型-固收,0.27,南方基金,1.0210,夏晨曦,2018-11-08,0.71%,2.07,9.21%,16.26%
001246,兴银长乐定开债,债券型-长债,24.50,兴银基金管理,1.0210,范泰奇,2018-04-20,0.95%,3.49,15.09%,26.79%
014503,泰信汇盈债券C,债券型-长债,0.00,泰信基金,1.0210,张安格,2022-03-21,None,None,None,None
020643,国泰中债1-3年国开债E,指数型-固收,1.47,国泰基金,1.0210,索峰,2024-01-24,None,None,None,None
019582,浦银悦享30天持有债券C,债券型-长债,25.67,浦银安盛基金,1.0210,曹治国,2023-12-06,None,None,None,None
008584,西部利得中债1-3年政金债指数C,指数型-固收,0.03,西部利得基金,1.0209,刘心峰,2021-01-27,0.84%,1.77,9.24%,None
012204,中银通利债券A,债券型-混合二级,1.55,中银基金,1.0209,陈玮,2021-06-24,None,None,2.09%,None
020317,鹏华丰达债券C,债券型-长债,1.01,鹏华基金,1.0209,杜培俊,2023-12-15,None,None,None,None
020372,中欧中债0-3年政金债指数A,指数型-固收,31.29,中欧基金,1.0209,周锦程,2024-01-24,None,None,None,None
009806,东方红招盈甄选一年混合A,混合型-偏债,6.77,东方红资产管理,1.0208,胡伟,2020-09-17,2.80%,-0.38,1.29%,None
013653,中银上清所0-5年农发行债券指数,指数型-固收,56.14,中银基金,1.0208,李宪,2021-11-26,None,None,None,None
020131,蜂巢上清所0-3年政金债指数C,指数型-固收,0.00,蜂巢基金,1.0209,金之洁,2023-12-15,None,None,None,None
018609,华泰柏瑞锦合债券,债券型-长债,20.18,华泰柏瑞基金,1.0208,罗远航,2023-07-28,None,None,None,None
